"ITTER107","Territorio","TIPO_DATO_OCC","Tipo aggregato","BRANCA_ATTIVITAREV2","Branca di attività (NACE Rev2)","POSIZPROF","Posizione nella professione","CORREZ","Correzione","T_BIS","Edizione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","C22_23","fabbricazione di articoli in gomma e materie plastiche e altri prodotti della lavorazione di minerali non metalliferi","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",6.535,,
"IT","Italia","RUEP","tasso di irregolarità degli occupati (per 100 occupati)","Q","sanità e assistenza sociale","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",6.705,,
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","E","fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",5.102,,
"IT","Italia","RUEP","tasso di irregolarità degli occupati (per 100 occupati)","C27","fabbricazione di apparecchiature elettriche","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",6.675,,
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","D","fornitura di energia elettrica, gas, vapore e aria condizionata","2","indipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",0,,
"IT","Italia","RUEP","tasso di irregolarità degli occupati (per 100 occupati)","C13T15","industrie tessili, confezione di articoli di abbigliamento e di articoli in pelle e simili","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",7.226,,
"IT","Italia","RUEP","tasso di irregolarità degli occupati (per 100 occupati)","C22_23","fabbricazione di articoli in gomma e materie plastiche e altri prodotti della lavorazione di minerali non metalliferi","2","indipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",11.471,,
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","C13T15","industrie tessili, confezione di articoli di abbigliamento e di articoli in pelle e simili","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",8.08,,
"IT","Italia","RUFTE","tasso di irregolarità delle unità di lavoro (per 100 unità di lavoro)","BTE","attività estrattiva, attività manifatturiere, fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",6.659,,
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","F","costruzioni","2","indipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",13.69,,
"IT","Italia","RUEP","tasso di irregolarità degli occupati (per 100 occupati)","C22_23","fabbricazione di articoli in gomma e materie plastiche e altri prodotti della lavorazione di minerali non metalliferi","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",5.812,,
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","BTE","attività estrattiva, attività manifatturiere, fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",6.286,,
"IT","Italia","RUFTE","tasso di irregolarità delle unità di lavoro (per 100 unità di lavoro)","GTI","commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli, trasporto e magazzinaggio, servizi di alloggio e di ristorazione","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",13.763,,
"IT","Italia","RUFTE","tasso di irregolarità delle unità di lavoro (per 100 unità di lavoro)","P","istruzione","2","indipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",42.489,,
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","_T","totale attività economiche","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",14.656,,
