Year,DescrRegione,Genere,Occupati,MacroRegione,Count,Percentage,PercentageOccupati,SummarisedCount
2018,Abruzzo,F,194266,Sud,10,0.001180173092053501,1.544274345485e-05,Very low (1-10)
2018,Abruzzo,M,299657,Sud,27,0.010621557828481511,9.0103017783665e-05,Low (11-50)
2018,Basilicata,F,68746,Sud,10,0.0003933910306845,1.4546300875687001e-05,Very low (1-10)
2018,Basilicata,M,116582,Sud,23,0.009047993705743508,0.000197286030433514,Low (11-50)
2018,Calabria,F,200098,Sud,10,0.002360346184107002,2.9985307199472002e-05,Very low (1-10)
2018,Calabria,M,340457,Sud,46,0.018095987411487015,0.00013511251053730701,Low (11-50)
2018,Campania,F,583010,Sud,10,0.0027537372147915028,1.2006655117407e-05,Very low (1-10)
2018,Campania,M,1057938,Sud,102,0.040125885129819044,9.6413967548192e-05,High (101-500)
2018,Emilia Romagna,F,894381,NordEst,10,0.002360346184107002,6.708550382890001e-06,Very low (1-10)
2018,Emilia Romagna,M,1101954,NordEst,119,0.04681353265145555,0.000107989988692812,High (101-500)
2018,Friuli Venezia Giulia,F,225075,NordEst,10,0.000786782061369,8.885926913251e-06,Very low (1-10)
2018,Friuli Venezia Giulia,M,282054,NordEst,27,0.010621557828481511,9.572635027335101e-05,Low (11-50)
2018,Lazio,F,1020600,Centro,10,0.003540519276160503,8.818342151675e-06,Very low (1-10)
2018,Lazio,M,1304373,Centro,97,0.03815892997639654,7.43652314177e-05,Moderate (51-100)
2018,Liguria,F,264973,NordOvest,10,0.001573564122738001,1.5095877693198e-05,Very low (1-10)
2018,Liguria,M,336593,NordOvest,42,0.016522423288749016,0.000124779778545602,Low (11-50)
2018,Lombardia,F,1908128,NordOvest,22,0.00865460267505901,1.152962484697e-05,Low (11-50)
2018,Lombardia,M,2485318,NordOvest,171,0.06726986624704956,6.8804072557314e-05,High (101-500)
2018,Marche,F,274690,Centro,10,0.001180173092053501,1.0921402308056e-05,Very low (1-10)
2018,Marche,M,357497,Centro,21,0.00826121164437451,5.8741751679035e-05,Low (11-50)
2018,Molise,F,40904,0,0,0.0,0.0,No deaths
2018,Molise,M,65054,Sud,14,0.0055074744295830055,0.000215205829003597,Low (11-50)
2018,Piemonte,F,804020,NordOvest,13,0.005114083398898505,1.6168752021094e-05,Low (11-50)
2018,Piemonte,M,1011526,NordOvest,95,0.03737214791502754,9.3917506816433e-05,Moderate (51-100)
2018,Puglia,F,436164,Sud,10,0.003147128245476003,1.834172467237e-05,Very low (1-10)
2018,Puglia,M,765536,Sud,74,0.029110936270653028,9.6664297955941e-05,Moderate (51-100)
2018,Sardegna,F,241812,0,0,0.0,0.0,No deaths
2018,Sardegna,M,331938,0,0,0.0,0.0,No deaths
2018,Sicilia,F,484186,Sud,10,0.001966955153422502,1.0326610021768e-05,Very low (1-10)
2018,Sicilia,M,858752,Sud,71,0.02793076317859953,8.267811894470101e-05,Moderate (51-100)
2018,Toscana,F,716511,Centro,10,0.002360346184107002,8.37391191482e-06,Very low (1-10)
2018,Toscana,M,861669,Centro,84,0.03304484657749804,9.7485229246961e-05,Moderate (51-100)
2018,Total,F,9676501,Total,117,0.046026750590086554,1.2091147409585e-05,High (101-500)
2018,Total,M,13282227,Total,1154,0.4539732494099135,8.6883020445291e-05,Extremely High (1001+)
2018,Trentino Alto Adige,F,225612,NordEst,10,0.0003933910306845,4.432388348137e-06,Very low (1-10)
2018,Trentino Alto Adige,M,270559,NordEst,15,0.005900865460267506,5.5440772622607e-05,Low (11-50)
2018,Umbria,F,152579,Centro,10,0.001180173092053501,1.9661945615057998e-05,Very low (1-10)
2018,Umbria,M,196871,Centro,18,0.007081038552321007,9.1430429062685e-05,Low (11-50)
2018,Valle D'Aosta,F,25671,0,0,0.0,0.0,No deaths
2018,Valle D'Aosta,M,29106,NordOvest,10,0.0003933910306845,3.4357177214320004e-05,Very low (1-10)
2018,Veneto,F,915075,NordEst,18,0.007081038552321007,1.9670518809933e-05,Low (11-50)
2018,Veneto,M,1208793,NordEst,107,0.04209284028324154,8.8518050650524e-05,High (101-500)
2019,Abruzzo,F,199112,Sud,10,0.000822368421052631,1.0044598015187e-05,Very low (1-10)
2019,Abruzzo,M,293503,Sud,33,0.01356907894736842,0.000112434966593186,Low (11-50)
2019,Basilicata,F,69133,Sud,10,0.000411184210526315,1.4464872058206e-05,Very low (1-10)
2019,Basilicata,M,118448,Sud,20,0.008223684210526315,0.000168850466027286,Low (11-50)
2019,Calabria,F,194172,Sud,10,0.001644736842105263,2.0600292524153e-05,Very low (1-10)
2019,Calabria,M,344468,Sud,34,0.013980263157894737,9.870292741270501e-05,Low (11-50)
2019,Campania,F,580865,Sud,10,0.002467105263157894,1.0329422499203e-05,Very low (1-10)
2019,Campania,M,1044716,Sud,91,0.03741776315789474,8.7105012271277e-05,Moderate (51-100)
2019,Emilia Romagna,F,915415,NordEst,12,0.004934210526315789,1.310880857316e-05,Low (11-50)
2019,Emilia Romagna,M,1110597,NordEst,103,0.04235197368421052,9.2742912145449e-05,High (101-500)
2019,Friuli Venezia Giulia,F,220726,NordEst,10,0.001233552631578947,1.3591511647925e-05,Very low (1-10)
2019,Friuli Venezia Giulia,M,287440,NordEst,18,0.007401315789473685,6.262176454216499e-05,Low (11-50)
2019,Lazio,F,1029891,Centro,10,0.004111842105263157,9.709765402358e-06,Very low (1-10)
2019,Lazio,M,1303568,Centro,104,0.04276315789473684,7.978103175285e-05,High (101-500)
2019,Liguria,F,267819,NordOvest,10,0.000822368421052631,7.467730071428e-06,Very low (1-10)
2019,Liguria,M,333929,NordOvest,24,0.00986842105263158,7.1871565512429e-05,Low (11-50)
2019,Lombardia,F,1937066,NordOvest,14,0.005756578947368422,7.227425394901e-06,Low (11-50)
2019,Lombardia,M,2513954,NordOvest,179,0.07360197368421052,7.1202575703453e-05,High (101-500)
