Year,DescrRegione,Occupati,MacroRegione,DescrAtecoLiv1,Settore,Count,Percentage,PercentageOccupati,SummarisedCount
2018,Abruzzo,493923,Sud,Attivita' manifatturiere,Secondario,10,0.003540519276160503,1.8221463669438e-05,Very low (1-10)
2018,Abruzzo,493923,Sud,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,10,0.001180173092053501,6.073821223146e-06,Very low (1-10)
2018,Abruzzo,493923,Sud,Costruzioni,Secondario,10,0.001573564122738001,8.098428297528e-06,Very low (1-10)
2018,Abruzzo,493923,Sud,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Secondario,10,0.0003933910306845,2.024607074382e-06,Very low (1-10)
2018,Abruzzo,493923,Sud,Non determinato,Terziario,10,0.003933910306845004,2.024607074382e-05,Very low (1-10)
2018,Abruzzo,493923,Sud,Trasporto e magazzinaggio,Terziario,10,0.001180173092053501,6.073821223146e-06,Very low (1-10)
2018,Basilicata,185328,Sud,"Agricoltura, silvicoltura e pesca",Primario,10,0.000786782061369,1.0791677458344e-05,Very low (1-10)
2018,Basilicata,185328,Sud,Attivita' dei servizi di alloggio e di ristorazione,Terziario,10,0.000786782061369,1.0791677458344e-05,Very low (1-10)
2018,Basilicata,185328,Sud,Attivita' manifatturiere,Secondario,10,0.000786782061369,1.0791677458344e-05,Very low (1-10)
2018,Basilicata,185328,Sud,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,10,0.0003933910306845,5.395838729172e-06,Very low (1-10)
2018,Basilicata,185328,Sud,Costruzioni,Secondario,10,0.000786782061369,1.0791677458344e-05,Very low (1-10)
2018,Basilicata,185328,Sud,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Secondario,10,0.0003933910306845,5.395838729172e-06,Very low (1-10)
2018,Basilicata,185328,Sud,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Terziario,10,0.0003933910306845,5.395838729172e-06,Very low (1-10)
2018,Basilicata,185328,Sud,Non determinato,Terziario,10,0.003540519276160503,4.856254856254799e-05,Very low (1-10)
