Year,DescrRegione,Occupati,MacroRegione,TotalDataAccadimento,TotalDataMorte,MorteOgniMilleIncidenti,PercentageMorteAccadimento,Morti per occupati,Incidenti su morti
2018,Abruzzo,493923,Sud,13913,30,2.1562567383023072,0.21562567383023074,0.006073821223146118,2.8168358225877315
2018,Basilicata,185328,Sud,4672,23,4.922945205479452,0.4922945205479452,0.012410429077095744,2.5209358542691875
2018,Calabria,540555,Sud,10134,51,5.0325636471284785,0.5032563647128478,0.00943474762050115,1.8747398507089934
2018,Campania,1640948,Sud,23003,106,4.608094596356997,0.4608094596356997,0.006459680623639506,1.4018116357130148
2018,Emilia Romagna,1996335,NordEst,86357,124,1.4358998112486538,0.14358998112486537,0.00621138235817135,4.325776986327446
2018,Friuli Venezia Giulia,507129,NordEst,17293,29,1.676979124501243,0.16769791245012433,0.0057184661102007575,3.4099804980586796
2018,Lazio,2324973,Centro,45031,104,2.3095201083697896,0.23095201083697894,0.004473170226062841,1.9368396966330363
2018,Liguria,601566,NordOvest,20634,46,2.2293302316564896,0.22293302316564895,0.007646708756811389,3.4300475758270914
2018,Lombardia,4393446,NordOvest,120166,189,1.5728242597739792,0.15728242597739792,0.004301862364986391,2.7351195394230405
2018,Marche,632187,Centro,18720,23,1.2286324786324787,0.12286324786324786,0.0036381640242523178,2.9611491536523213
2018,Molise,105958,Sud,2140,14,6.542056074766355,0.6542056074766356,0.013212782423224295,2.0196681704071424
2018,Piemonte,1815546,NordOvest,47861,104,2.172959194333591,0.21729591943335913,0.005728304322776729,2.6361766653117025
2018,Puglia,1201700,Sud,31125,77,2.4738955823293174,0.24738955823293174,0.0064075892485645335,2.5900807189814428
2018,Sicilia,1342938,Sud,28253,76,2.6899798251513114,0.26899798251513113,0.00565923370997023,2.1038201316814327
2018,Toscana,1578180,Centro,49208,85,1.7273614046496506,0.17273614046496505,0.005385950905473394,3.118022025370997
2018,Trentino Alto Adige,496171,NordEst,24383,16,0.656194889882295,0.0656194889882295,0.0032246947121053024,4.914233197828975
2018,Umbria,349450,Centro,10384,20,1.926040061633282,0.1926040061633282,0.005723279439118615,2.9715266847903847
2018,Valle D'Aosta,54777,NordOvest,1518,1,0.6587615283267457,0.06587615283267458,0.0018255837303977945,2.7712361027438526
2018,Veneto,2123868,NordEst,76907,123,1.5993342608605199,0.159933426086052,0.005791320364542429,3.6210819128119076
2019,Abruzzo,492615,Sud,13384,35,2.615062761506276,0.2615062761506276,0.00710493996325731,2.7169290419495953
2019,Basilicata,187581,Sud,4777,22,4.605400879212895,0.46054008792128953,0.011728266722109382,2.546633187796205
2019,Calabria,538640,Sud,9923,38,3.829487050287211,0.38294870502872114,0.007054804693301649,1.8422322887271647
2019,Campania,1625581,Sud,23152,96,4.14651002073255,0.414651002073255,0.0059055808354059255,1.4242292448053957
2019,Emilia Romagna,2026012,NordEst,85298,114,1.336490890759455,0.1336490890759455,0.00562681761016223,4.210142881680859
2019,Friuli Venezia Giulia,508166,NordEst,17149,20,1.1662487608606917,0.11662487608606917,0.003935721791697989,3.37468465029144
2019,Lazio,2333459,Centro,45318,111,2.449357871044618,0.24493578710446182,0.0047568866648181945,1.9420954042903689
2019,Liguria,601748,NordOvest,20772,26,1.2516849605237819,0.1251684960523782,0.004320745561264848,3.45194333840744
2019,Lombardia,4451020,NordOvest,120125,185,1.5400624349635794,0.15400624349635794,0.004156350679170168,2.6988195964071156
2019,Marche,632493,Centro,19103,34,1.7798251583520912,0.17798251583520913,0.005375553563438647,3.0202705800696608
2019,Molise,108495,Sud,1995,12,6.015037593984963,0.6015037593984963,0.011060417530761786,1.838794414489147
2019,Piemonte,1812535,NordOvest,47780,106,2.2185014650481376,0.22185014650481374,0.00584816293202614,2.6360870272849906
2019,Puglia,1216063,Sud,30984,76,2.452878905241415,0.24528789052414146,0.006249676209209556,2.547894311396696
2019,Sicilia,1341533,Sud,27934,88,3.1502828094794872,0.3150282809479487,0.0065596597325596915,2.0822447155604817
2019,Toscana,1584130,Centro,49535,77,1.5544564449379228,0.15544564449379228,0.004860712189024891,3.1269529647188046
2019,Trentino Alto Adige,500166,NordEst,24434,34,1.391503642465417,0.1391503642465417,0.006797743149274441,4.885178120863873
2019,Umbria,358279,Centro,10614,19,1.790088562276239,0.1790088562276239,0.005303129683849737,2.9624957086516375
2019,Valle D'Aosta,55199,NordOvest,1447,1,0.691085003455425,0.0691085003455425,0.0018116270222286635,2.6214243011648763
2019,Veneto,2153657,NordEst,77423,109,1.4078503803779239,0.14078503803779238,0.0050611587639071585,3.594954999798018
2020,Abruzzo,475361,Sud,11149,42,3.7671540048434835,0.3767154004843484,0.008835390366479371,2.3453754094256785
2020,Basilicata,183695,Sud,3945,9,2.2813688212927756,0.22813688212927757,0.004899425678434361,2.1475815890470615
2020,Calabria,513834,Sud,7286,48,6.5879769420807035,0.6587976942080703,0.009341538317822489,1.417967670492805
2020,Campania,1569819,Sud,22386,178,7.951398195300635,0.7951398195300635,0.011338886839820386,1.426024274136063
2020,Emilia Romagna,1966238,NordEst,70511,141,1.9996879919445192,0.1999687991944519,0.00717105457223388,3.5860867300906603
2020,Friuli Venezia Giulia,506216,NordEst,15705,24,1.5281757402101241,0.15281757402101243,0.004741059152614694,3.1024305829922403
2020,Lazio,2258785,Centro,37097,145,3.908671860258242,0.3908671860258242,0.006419380330575952,1.6423431180922488
2020,Liguria,579517,NordOvest,19280,57,2.9564315352697093,0.29564315352697096,0.00983577703501364,3.3269084427204034
2020,Lombardia,4315137,NordOvest,115055,343,2.981182912520099,0.2981182912520099,0.007948762692818329,2.6663116373825444
2020,Marche,611817,Centro,16011,54,3.372681281618887,0.33726812816188867,0.008826168609240998,2.6169589926399563
2020,Molise,103979,Sud,1540,15,9.74025974025974,0.974025974025974,0.01442598986333779,1.481068292636013
2020,Piemonte,1748168,NordOvest,50658,144,2.8425914959137746,0.2842591495913775,0.008237194594569858,2.8977764150813883
2020,Puglia,1188112,Sud,25239,103,4.080985775981615,0.40809857759816154,0.008669216370173856,2.124294679289495
2020,Sicilia,1305304,Sud,22658,95,4.192779592197017,0.4192779592197017,0.007277998075544088,1.7358408462702941
2020,Toscana,1544467,Centro,41358,79,1.9101503941196383,0.19101503941196382,0.005115033212104888,2.677817007420683
2020,Trentino Alto Adige,486175,NordEst,22400,24,1.0714285714285714,0.10714285714285715,0.004936494060780583,4.607394456728544
2020,Umbria,348364,Centro,8026,14,1.74433092449539,0.174433092449539,0.004018784949076253,2.303912000091858
