Year,DescrRegione,AgeGroup,Occupati,MacroRegione,Count,Percentage,PercentageOccupati,SummarisedCount
2018,Abruzzo,0-14,0,Sud,1201,0.000653363297738362,0.0,Low (1001-10000)
2018,Abruzzo,15+,493923,Sud,12712,0.006915532257160748,0.02573680512954448,Moderate (10001-50000)
2018,Abruzzo,15-64,480993,Sud,12246,0.006662020769445446,0.02545982997673563,Moderate (10001-50000)
2018,Abruzzo,65+,12930,Sud,466,0.000253511487715301,0.03604021655065739,Very low (1-1000)
2018,Basilicata,0-14,0,Sud,450,0.000244807230626363,0.0,Very low (1-1000)
2018,Basilicata,15+,185328,Sud,4222,0.002296835839343351,0.022781231114564447,Low (1001-10000)
2018,Basilicata,15-64,180240,Sud,4120,0.002241346200401375,0.022858411007545498,Low (1001-10000)
2018,Basilicata,65+,5088,Sud,102,5.5489638941975e-05,0.020047169811320757,Very low (1-1000)
2018,Calabria,0-14,0,Sud,1152,0.000626706510403491,0.0,Low (1001-10000)
2018,Calabria,15+,540555,Sud,8982,0.004886352323302221,0.01661625551516497,Low (1001-10000)
2018,Calabria,15-64,526386,Sud,8785,0.0047791811578946795,0.01668927365089497,Low (1001-10000)
2018,Calabria,65+,14169,Sud,197,0.000107171165407541,0.013903592349495375,Very low (1-1000)
2018,Campania,0-14,0,Sud,2650,0.001441642580355253,0.0,Low (1001-10000)
2018,Campania,15+,1640948,Sud,20353,0.011072359033196404,0.01240319620122027,Moderate (10001-50000)
2018,Campania,15-64,1592168,Sud,19885,0.01081775951334499,0.012489259927344351,Moderate (10001-50000)
2018,Campania,65+,48780,Sud,468,0.000254599519851418,0.00959409594095941,Very low (1-1000)
2018,Emilia Romagna,0-14,0,NordEst,6192,0.003368547493418765,0.0,Low (1001-10000)
2018,Emilia Romagna,15+,1996335,NordEst,80165,0.04361104809591656,0.04015608602764567,High (50001-100000)
2018,Emilia Romagna,15-64,1933976,NordEst,78259,0.042574153470196906,0.04046534186566948,High (50001-100000)
2018,Emilia Romagna,65+,62359,NordEst,1906,0.001036894625719665,0.030564954537436458,Low (1001-10000)
2018,Friuli Venezia Giulia,0-14,0,NordEst,1813,0.000986301131390216,0.0,Low (1001-10000)
2018,Friuli Venezia Giulia,15+,507129,NordEst,15480,0.008421368733546914,0.030524777719278525,Moderate (10001-50000)
2018,Friuli Venezia Giulia,15-64,492827,NordEst,15242,0.00829189290934897,0.030927688620956243,Moderate (10001-50000)
2018,Friuli Venezia Giulia,65+,14302,NordEst,238,0.00012947582419794298,0.01664102922668158,Very low (1-1000)
2018,Lazio,0-14,0,Centro,3268,0.0017778445104154588,0.0,Low (1001-10000)
2018,Lazio,15+,2324973,Centro,41763,0.022719743050330733,0.01796278924529446,Moderate (10001-50000)
2018,Lazio,15-64,2266442,Centro,41037,0.022324787384920206,0.01810635348268343,Moderate (10001-50000)
2018,Lazio,65+,58531,Centro,726,0.00039495566541053305,0.01240368351813569,Very low (1-1000)
2018,Liguria,0-14,0,NordOvest,1570,0.00085410522685198,0.0,Low (1001-10000)
2018,Liguria,15+,601566,NordOvest,19064,0.010371122321468886,0.031690620813011376,Moderate (10001-50000)
2018,Liguria,15-64,580429,NordOvest,18696,0.010170924408423328,0.03221065797883979,Moderate (10001-50000)
2018,Liguria,65+,21137,NordOvest,368,0.000200197913045559,0.017410228509249184,Very low (1-1000)
2018,Lombardia,0-14,0,NordOvest,13201,0.007181556114441396,0.0,Moderate (10001-50000)
2018,Lombardia,15+,4393446,NordOvest,106965,0.05819067871988668,0.02434649247993488,Very High (100001-200000)
2018,Lombardia,15-64,4289161,NordOvest,105576,0.0574350404013533,0.02461460411488401,Very High (100001-200000)
2018,Lombardia,65+,104285,NordOvest,1389,0.0007556383185333761,0.013319269310063768,Low (1001-10000)
2018,Marche,0-14,0,Centro,1426,0.0007757669130515429,0.0,Low (1001-10000)
2018,Marche,15+,632187,Centro,17294,0.00940821388100519,0.027355829841486778,Moderate (10001-50000)
2018,Marche,15-64,611992,Centro,16542,0.008999113797825132,0.02702976509496856,Moderate (10001-50000)
2018,Marche,65+,20195,Centro,752,0.00040910008318005597,0.037236939836593215,Very low (1-1000)
2018,Molise,0-14,0,Sud,250,0.000136004017014646,0.0,Very low (1-1000)
2018,Molise,15+,105958,Sud,1890,0.001028190368630728,0.0178372562713528,Low (1001-10000)
2018,Molise,15-64,103578,Sud,1814,0.000986845147458275,0.017513371565390335,Low (1001-10000)
2018,Molise,65+,2380,Sud,76,4.1345221172452e-05,0.03193277310924369,Very low (1-1000)
2018,Piemonte,0-14,0,NordOvest,5388,0.002931158574699662,0.0,Low (1001-10000)
2018,Piemonte,15+,1815546,NordOvest,42473,0.02310599445865233,0.023394064375124618,Moderate (10001-50000)
2018,Piemonte,15-64,1765875,NordOvest,41545,0.022601147547493962,0.02352658030721314,Moderate (10001-50000)
2018,Piemonte,65+,49671,NordOvest,928,0.000504846911158367,0.018682933703770808,Very low (1-1000)
2018,Puglia,0-14,0,Sud,2981,0.001621711898882645,0.0,Low (1001-10000)
2018,Puglia,15+,1201700,Sud,28144,0.01531078821944085,0.0234201547807273,Moderate (10001-50000)
2018,Puglia,15-64,1177093,Sud,27570,0.01499852299637522,0.023422108533480358,Moderate (10001-50000)
2018,Puglia,65+,24607,Sud,574,0.000312265223065628,0.023326695655707726,Very low (1-1000)
2018,Sardegna,15+,573750,0,0,0.0,0.0,No injuries
2018,Sardegna,15-64,557293,0,0,0.0,0.0,No injuries
2018,Sardegna,65+,16457,0,0,0.0,0.0,No injuries
2018,Sicilia,0-14,0,Sud,2960,0.0016102875614534152,0.0,Low (1001-10000)
2018,Sicilia,15+,1342938,Sud,25293,0.013759798409405818,0.018834078713983814,Moderate (10001-50000)
2018,Sicilia,15-64,1307467,Sud,24715,0.013445357122067958,0.01890296275164115,Moderate (10001-50000)
2018,Sicilia,65+,35471,Sud,578,0.000314441287337862,0.016295001550562432,Very low (1-1000)
2018,Toscana,0-14,0,Centro,2969,0.0016151837060659421,0.0,Low (1001-10000)
2018,Toscana,15+,1578180,Centro,46239,0.025154758970960967,0.029298939284492263,Moderate (10001-50000)
2018,Toscana,15-64,1524380,Centro,45054,0.024510099930311544,0.02955562261378396,Moderate (10001-50000)
2018,Toscana,65+,53800,Centro,1185,0.000644659040649424,0.022026022304832717,Low (1001-10000)
2018,Total,0-14,0,Total,56925,0.03096811467423501,0.0,High (50001-100000)
2018,Total,15+,22958728,Total,0,0.0,0.0,No injuries
2018,Total,15-64,22332614,Total,562524,0.30602209466858815,0.025188453084802342,Extremely High (200001+)
2018,Total,65+,626114,Total,12253,0.006665828881921856,0.019569918577128125,Moderate (10001-50000)
2018,Trentino Alto Adige,0-14,0,NordEst,2427,0.001320326997178188,0.0,Low (1001-10000)
2018,Trentino Alto Adige,15+,496171,NordEst,21956,0.01194441679029432,0.04425087318686502,Moderate (10001-50000)
2018,Trentino Alto Adige,15-64,483499,NordEst,21291,0.01158264610503536,0.04403525136556643,Moderate (10001-50000)
2018,Trentino Alto Adige,65+,12672,NordEst,665,0.00036177068525895903,0.05247790404040404,Very low (1-1000)
2018,Umbria,0-14,0,Centro,1004,0.0005461921323308199,0.0,Low (1001-10000)
2018,Umbria,15+,349450,Centro,9380,0.005102870718389539,0.026842180569466304,Low (1001-10000)
2018,Umbria,15-64,338994,Centro,9040,0.0049179052552496185,0.02666713865142156,Low (1001-10000)
2018,Umbria,65+,10456,Centro,340,0.000184965463139919,0.032517214996174444,Very low (1-1000)
2018,Valle D'Aosta,0-14,0,NordOvest,128,6.9634056711499e-05,0.0,Very low (1-1000)
2018,Valle D'Aosta,15+,54777,NordOvest,1390,0.000756182334601434,0.025375613852529347,Low (1001-10000)
2018,Valle D'Aosta,15-64,53486,NordOvest,1363,0.000741493900763853,0.025483304042179262,Low (1001-10000)
2018,Valle D'Aosta,65+,1291,NordOvest,27,1.4688433837581e-05,0.020914020139426802,Very low (1-1000)
2018,Veneto,0-14,0,NordEst,5895,0.003206974721205365,0.0,Low (1001-10000)
2018,Veneto,15+,2123868,NordEst,71012,0.03863166902497632,0.03343522290462496,High (50001-100000)
2018,Veneto,15-64,2066335,NordEst,69744,0.03794185665067804,0.033752513508216245,High (50001-100000)
2018,Veneto,65+,57533,NordEst,1268,0.000689812374298287,0.022039525142092363,Low (1001-10000)
