Year,DescrRegione,Occupati,MacroRegione,Settore,Percentage,PercentageOccupati,SummarisedCount
2018,Abruzzo,493923,Sud,Primario,0.0034500107812836913,9.7181139570337e-05,Very low (1-1000)
2018,Abruzzo,493923,Sud,Secondario,0.25537267303960326,0.007193428935279386,Low (1001-10000)
2018,Abruzzo,493923,Sud,Terziario,0.7411773161791131,0.02087774815102758,Moderate (10001-50000)
2018,Basilicata,185328,Sud,Primario,0.006207191780821918,0.00015647932314598898,Very low (1-1000)
2018,Basilicata,185328,Sud,Secondario,0.2071917808219178,0.005223171889838557,Very low (1-1000)
2018,Basilicata,185328,Sud,Terziario,0.7866010273972602,0.01982970732970733,Low (1001-10000)
2018,Calabria,540555,Sud,Primario,0.003157686994276693,5.919841644236e-05,Very low (1-1000)
2018,Calabria,540555,Sud,Secondario,0.1495954213538583,0.002804524978956813,Low (1001-10000)
2018,Calabria,540555,Sud,Terziario,0.8472468916518651,0.01588367511169076,Low (1001-10000)
2018,Campania,1640948,Sud,Primario,0.002521410250836847,3.5345422280291e-05,Very low (1-1000)
2018,Campania,1640948,Sud,Secondario,0.18706255705777508,0.0026222646908981876,Low (1001-10000)
2018,Campania,1640948,Sud,Terziario,0.8104160326913881,0.011360506243951669,Moderate (10001-50000)
2018,Emilia Romagna,1996335,NordEst,Primario,0.002987597994372199,0.00012923682648453198,Very low (1-1000)
2018,Emilia Romagna,1996335,NordEst,Secondario,0.28611461722848175,0.012376680266588523,Moderate (10001-50000)
2018,Emilia Romagna,1996335,NordEst,Terziario,0.710897784777146,0.0307518527702014,High (50001-100000)
2018,Friuli Venezia Giulia,507129,NordEst,Primario,0.002717862719019256,9.2678588682564e-05,Very low (1-1000)
2018,Friuli Venezia Giulia,507129,NordEst,Secondario,0.28757300641878214,0.009806183436561504,Low (1001-10000)
2018,Friuli Venezia Giulia,507129,NordEst,Terziario,0.7097091308621986,0.024200942955342725,Moderate (10001-50000)
2018,Lazio,2324973,Centro,Primario,0.0025093824254402517,4.8602714956259e-05,Very low (1-1000)
2018,Lazio,2324973,Centro,Secondario,0.13877106881925783,0.002687773148333335,Low (1001-10000)
2018,Lazio,2324973,Centro,Terziario,0.8587195487553019,0.016632021103040767,Moderate (10001-50000)
2018,Liguria,601566,NordOvest,Primario,0.00106620141514006,3.6571215793445e-05,Very low (1-1000)
2018,Liguria,601566,NordOvest,Secondario,0.19928273722981488,0.0068354926973931375,Low (1001-10000)
2018,Liguria,601566,NordOvest,Terziario,0.7996510613550449,0.02742841184508433,Moderate (10001-50000)
2018,Lombardia,4393446,NordOvest,Primario,0.001880731654544546,5.1440258967561996e-05,Very low (1-1000)
2018,Lombardia,4393446,NordOvest,Secondario,0.2714411730439559,0.007424240561964345,Moderate (10001-50000)
2018,Lombardia,4393446,NordOvest,Terziario,0.7266780953014996,0.019875514573298496,High (50001-100000)
2018,Marche,632187,Centro,Primario,0.003579059829059829,0.000105981299836915,Very low (1-1000)
2018,Marche,632187,Centro,Secondario,0.3002136752136752,0.008889774702738272,Low (1001-10000)
2018,Marche,632187,Centro,Terziario,0.6962072649572648,0.020615735533948024,Moderate (10001-50000)
2018,Molise,105958,Sud,Primario,0.002803738317757009,5.6626210385246e-05,Very low (1-1000)
2018,Molise,105958,Sud,Secondario,0.1859813084112149,0.0037562052888880496,Very low (1-1000)
2018,Molise,105958,Sud,Terziario,0.8112149532710279,0.016383850204798128,Low (1001-10000)
2018,Piemonte,1815546,NordOvest,Primario,0.001796870103006623,4.7368670361421997e-05,Very low (1-1000)
2018,Piemonte,1815546,NordOvest,Secondario,0.24017467248908297,0.00633142867214601,Moderate (10001-50000)
2018,Piemonte,1815546,NordOvest,Terziario,0.7580284574079105,0.01998296931060959,Moderate (10001-50000)
2018,Puglia,1201700,Sud,Primario,0.0029558232931726908,7.6558209203628e-05,Very low (1-1000)
2018,Puglia,1201700,Sud,Secondario,0.1839357429718876,0.004764084214030124,Low (1001-10000)
2018,Puglia,1201700,Sud,Terziario,0.8131084337349398,0.02106016476658068,Moderate (10001-50000)
2018,Sardegna,573750,0,0,0.0,0.0,No injuries
2018,Sicilia,1342938,Sud,Primario,0.002442218525466322,5.1379884998413e-05,Very low (1-1000)
2018,Sicilia,1342938,Sud,Secondario,0.15216083247796697,0.003201190226205528,Low (1001-10000)
2018,Sicilia,1342938,Sud,Terziario,0.8453969489965667,0.017785631205610386,Moderate (10001-50000)
2018,Toscana,1578180,Centro,Primario,0.004938221427410177,0.000153974831768239,Very low (1-1000)
2018,Toscana,1578180,Centro,Secondario,0.24428954641521702,0.007617001862905373,Moderate (10001-50000)
2018,Toscana,1578180,Centro,Terziario,0.7507722321573728,0.023409243559036362,Moderate (10001-50000)
2018,Total,22958728,Total,Primario,0.002862109032423516,7.875000740459101e-05,Low (1001-10000)
2018,Total,22958728,Total,Secondario,0.2465877898122849,0.006784783547241816,Very High (100001-200000)
2018,Total,22958728,Total,Terziario,0.7505501011552915,0.020651144087773507,Extremely High (200001+)
2018,Trentino Alto Adige,496171,NordEst,Primario,0.005618668744617151,0.000276114484724016,Very low (1-1000)
2018,Trentino Alto Adige,496171,NordEst,Secondario,0.23426157568797934,0.011512160122215929,Low (1001-10000)
2018,Trentino Alto Adige,496171,NordEst,Terziario,0.7601197555674035,0.037354057371349794,Moderate (10001-50000)
2018,Umbria,349450,Centro,Primario,0.006644838212634823,0.000197453140649592,Very low (1-1000)
2018,Umbria,349450,Centro,Secondario,0.24932588597842842,0.007408785233939047,Low (1001-10000)
2018,Umbria,349450,Centro,Terziario,0.7440292758089369,0.02210902847331521,Low (1001-10000)
2018,Valle D'Aosta,54777,NordOvest,Primario,0.001976284584980237,5.4767511911933e-05,Very low (1-1000)
2018,Valle D'Aosta,54777,NordOvest,Secondario,0.1732542819499341,0.0048012852109462,Very low (1-1000)
2018,Valle D'Aosta,54777,NordOvest,Terziario,0.8247694334650856,0.02285630830458039,Low (1001-10000)
2018,Veneto,2123868,NordEst,Primario,0.002639551666298256,9.558032796765099e-05,Very low (1-1000)
2018,Veneto,2123868,NordEst,Secondario,0.3204909826153666,0.011605241003678195,Moderate (10001-50000)
2018,Veneto,2123868,NordEst,Terziario,0.6768694657183352,0.024509997796473223,High (50001-100000)
2019,Abruzzo,492615,Sud,Primario,0.003362223550508069,9.134922809902199e-05,Very low (1-1000)
2019,Abruzzo,492615,Sud,Secondario,0.2482068141063957,0.00674360301655451,Low (1001-10000)
2019,Abruzzo,492615,Sud,Terziario,0.7484309623430963,0.020334338174842422,Moderate (10001-50000)
2019,Basilicata,187581,Sud,Primario,0.006280092108017585,0.00015993090984694602,Very low (1-1000)
2019,Basilicata,187581,Sud,Secondario,0.19552020096294742,0.004979182326568255,Very low (1-1000)
2019,Basilicata,187581,Sud,Terziario,0.798199706929035,0.02032721864154685,Low (1001-10000)
2019,Calabria,538640,Sud,Primario,0.003124055225234304,5.7552354076934e-05,Very low (1-1000)
2019,Calabria,538640,Sud,Secondario,0.14703214753602742,0.002708673696717659,Low (1001-10000)
2019,Calabria,538640,Sud,Terziario,0.8498437972387383,0.015656096836477052,Low (1001-10000)
2019,Campania,1625581,Sud,Primario,0.001511748445058742,2.1530763462417e-05,Very low (1-1000)
2019,Campania,1625581,Sud,Secondario,0.19095542501727716,0.0027196430076385,Low (1001-10000)
2019,Campania,1625581,Sud,Terziario,0.807532826537664,0.01150111867695304,Moderate (10001-50000)
