DescrRegione,MacroRegione,Year,Occupati,IncidentiPerOccupati,SummarisedCount
Abruzzo,Sud,2018,493923,2.8168358225877315,Moderate (10001-50000)
Abruzzo,Sud,2019,492615,2.7169290419495953,Moderate (10001-50000)
Abruzzo,Sud,2020,475361,2.3453754094256785,Moderate (10001-50000)
Abruzzo,Sud,2021,484387,2.389618218490587,Moderate (10001-50000)
Abruzzo,Sud,2022,482849,3.2751439891146097,Moderate (10001-50000)
Abruzzo,Sud,2023,502116,0.993595105513467,Low (1001-10000)
Basilicata,Sud,2018,185328,2.5209358542691875,Low (1001-10000)
Basilicata,Sud,2019,187581,2.546633187796205,Low (1001-10000)
Basilicata,Sud,2020,183695,2.1475815890470615,Low (1001-10000)
Basilicata,Sud,2021,189066,2.202934425015603,Low (1001-10000)
Basilicata,Sud,2022,188761,2.268477068886052,Low (1001-10000)
Basilicata,Sud,2023,194175,0.8734389082013648,Low (1001-10000)
Calabria,Sud,2018,540555,1.8747398507089934,Moderate (10001-50000)
Calabria,Sud,2019,538640,1.8422322887271647,Low (1001-10000)
Calabria,Sud,2020,513834,1.417967670492805,Low (1001-10000)
Calabria,Sud,2021,520963,1.5275556997329944,Low (1001-10000)
Calabria,Sud,2022,528974,1.9426285601938846,Moderate (10001-50000)
Calabria,Sud,2023,539183,0.6439372161214282,Low (1001-10000)
Campania,Sud,2018,1640948,1.4018116357130148,Moderate (10001-50000)
Campania,Sud,2019,1625581,1.4242292448053957,Moderate (10001-50000)
Campania,Sud,2020,1569819,1.426024274136063,Moderate (10001-50000)
Campania,Sud,2021,1592095,1.2778131958206012,Moderate (10001-50000)
Campania,Sud,2022,1641300,2.036373606287699,Moderate (10001-50000)
Campania,Sud,2023,1683953,0.536475780499812,Low (1001-10000)
Emilia Romagna,NordEst,2018,1996335,4.325776986327446,High (50001-100000)
Emilia Romagna,NordEst,2019,2026012,4.210142881680859,High (50001-100000)
Emilia Romagna,NordEst,2020,1966238,3.5860867300906603,High (50001-100000)
Emilia Romagna,NordEst,2021,1978443,3.7898994310172194,High (50001-100000)
