Year,DescrRegione,Occupati,MacroRegione,Nazionalità,Percentage,PercentageOccupati,SummarisedCount
2018,Abruzzo,493923,Sud,0,,6.073821223146e-06,Very low (1-10)
2018,Abruzzo,493923,Sud,1,,5.4664391008315004e-05,Low (11-50)
2018,Basilicata,185328,Sud,0,,4.3166709833376e-05,Very low (1-10)
2018,Basilicata,185328,Sud,1,,8.6333419666753e-05,Low (11-50)
2018,Calabria,540555,Sud,0,,7.399802055295e-06,Very low (1-10)
2018,Calabria,540555,Sud,1,,8.879762466354e-05,Low (11-50)
2018,Campania,1640948,Sud,0,,4.87523065935e-06,Very low (1-10)
2018,Campania,1640948,Sud,1,,6.15497870743e-05,High (101-500)
2018,Emilia Romagna,1996335,NordEst,0,,1.4025702099096e-05,Low (11-50)
2018,Emilia Romagna,1996335,NordEst,1,,4.8589039414726994e-05,Moderate (51-100)
2018,Friuli Venezia Giulia,507129,NordEst,0,,7.887539462345001e-06,Very low (1-10)
2018,Friuli Venezia Giulia,507129,NordEst,1,,4.9297121639661e-05,Low (11-50)
2018,Lazio,2324973,Centro,0,,7.742025391262001e-06,Low (11-50)
2018,Lazio,2324973,Centro,1,,3.7849901912839e-05,Moderate (51-100)
2018,Liguria,601566,NordOvest,0,,1.6623279906111e-05,Very low (1-10)
2018,Liguria,601566,NordOvest,1,,5.9843807662002e-05,Low (11-50)
2018,Lombardia,4393446,NordOvest,0,,8.421635317698e-06,Low (11-50)
2018,Lombardia,4393446,NordOvest,1,,3.5507435393538e-05,High (101-500)
2018,Marche,632187,Centro,0,,4.745431335981e-06,Very low (1-10)
2018,Marche,632187,Centro,1,,3.3218019351868e-05,Low (11-50)
2018,Molise,105958,Sud,0,,2.8313105192623e-05,Very low (1-10)
2018,Molise,105958,Sud,1,,0.000103814719039619,Low (11-50)
2018,Piemonte,1815546,NordOvest,0,,9.363574373768999e-06,Low (11-50)
2018,Piemonte,1815546,NordOvest,1,,5.0122662824296004e-05,Moderate (51-100)
2018,Puglia,1201700,Sud,0,,1.5810934509444e-05,Low (11-50)
2018,Puglia,1201700,Sud,1,,5.2425730215528e-05,Moderate (51-100)
2018,Sicilia,1342938,Sud,0,,6.701724130227e-06,Very low (1-10)
2018,Sicilia,1342938,Sud,1,,4.9890612969474005e-05,Moderate (51-100)
2018,Toscana,1578180,Centro,0,,6.336412829968e-06,Very low (1-10)
2018,Toscana,1578180,Centro,1,,5.0691302639749e-05,Moderate (51-100)
2018,Trentino Alto Adige,496171,NordEst,0,,1.0077170975329e-05,Very low (1-10)
2018,Trentino Alto Adige,496171,NordEst,1,,2.2169776145723e-05,Low (11-50)
2018,Umbria,349450,Centro,0,,8.584919158677e-06,Very low (1-10)
2018,Umbria,349450,Centro,1,,5.1509514952067e-05,Low (11-50)
2018,Valle D'Aosta,54777,NordOvest,1,,1.8255837303977e-05,Very low (1-10)
2018,Veneto,2123868,NordEst,0,,1.3183493512778999e-05,Low (11-50)
2018,Veneto,2123868,NordEst,1,,4.5671388240699996e-05,Moderate (51-100)
2019,Abruzzo,492615,Sud,0,,1.2179897079869e-05,Very low (1-10)
2019,Abruzzo,492615,Sud,1,,5.8869502552703e-05,Low (11-50)
2019,Basilicata,187581,Sud,0,,1.5993090984694003e-05,Very low (1-10)
2019,Basilicata,187581,Sud,1,,9.5958545908167e-05,Low (11-50)
2019,Calabria,538640,Sud,0,,1.1139165305213e-05,Very low (1-10)
2019,Calabria,538640,Sud,1,,5.9408881627803e-05,Low (11-50)
2019,Campania,1625581,Sud,0,,4.306152692483e-06,Very low (1-10)
2019,Campania,1625581,Sud,1,,5.536482033193e-05,Moderate (51-100)
2019,Emilia Romagna,2026012,NordEst,0,,1.6781736732062e-05,Low (11-50)
2019,Emilia Romagna,2026012,NordEst,1,,3.9980019861679e-05,Moderate (51-100)
2019,Friuli Venezia Giulia,508166,NordEst,0,,1.1807165375093e-05,Very low (1-10)
2019,Friuli Venezia Giulia,508166,NordEst,1,,2.9517913437734e-05,Low (11-50)
2019,Lazio,2333459,Centro,0,,6.856773570909e-06,Low (11-50)
2019,Lazio,2333459,Centro,1,,4.1997738121818e-05,Moderate (51-100)
2019,Liguria,601748,NordOvest,0,,4.9854756476130005e-06,Very low (1-10)
2019,Liguria,601748,NordOvest,1,,3.8221979965035e-05,Low (11-50)
2019,Lombardia,4451020,NordOvest,0,,9.436039379737e-06,Low (11-50)
2019,Lombardia,4451020,NordOvest,1,,3.3924808246199e-05,High (101-500)
2019,Marche,632493,Centro,0,,9.486270994303e-06,Very low (1-10)
2019,Marche,632493,Centro,1,,4.7431354971517e-05,Low (11-50)
2019,Molise,108495,Sud,0,,9.217014608968e-06,Very low (1-10)
2019,Molise,108495,Sud,1,,0.000110604175307617,Low (11-50)
2019,Piemonte,1812535,NordOvest,0,,1.4896264072142001e-05,Low (11-50)
2019,Piemonte,1812535,NordOvest,1,,4.3033651763964996e-05,Moderate (51-100)
2019,Puglia,1216063,Sud,0,,1.0690235621015999e-05,Low (11-50)
2019,Puglia,1216063,Sud,1,,5.0984200654077004e-05,Moderate (51-100)
2019,Sicilia,1341533,Sud,0,,7.454158786999e-06,Very low (1-10)
2019,Sicilia,1341533,Sud,1,,5.8142438538597004e-05,Moderate (51-100)
2019,Toscana,1584130,Centro,0,,1.0100181171999002e-05,Low (11-50)
2019,Toscana,1584130,Centro,1,,3.7875679394999e-05,Moderate (51-100)
2019,Trentino Alto Adige,500166,NordEst,0,,1.3995353542623e-05,Very low (1-10)
2019,Trentino Alto Adige,500166,NordEst,1,,5.3982077950120004e-05,Low (11-50)
2019,Umbria,358279,Centro,0,,5.582241772473e-06,Very low (1-10)
2019,Umbria,358279,Centro,1,,4.7449055066022996e-05,Low (11-50)
2019,Valle D'Aosta,55199,NordOvest,1,,1.8116270222286e-05,Very low (1-10)
2019,Veneto,2153657,NordEst,0,,1.1608162302539e-05,Low (11-50)
2019,Veneto,2153657,NordEst,1,,3.9003425336532e-05,Moderate (51-100)
2020,Abruzzo,475361,Sud,0,,1.0518321864855999e-05,Very low (1-10)
2020,Abruzzo,475361,Sud,1,,8.6250239291822e-05,Low (11-50)
2020,Basilicata,183695,Sud,0,,5.443806309371e-06,Very low (1-10)
2020,Basilicata,183695,Sud,1,,4.8994256784343e-05,Very low (1-10)
2020,Calabria,513834,Sud,0,,9.730769081064999e-06,Very low (1-10)
2020,Calabria,513834,Sud,1,,8.5630767913372e-05,Low (11-50)
2020,Campania,1569819,Sud,0,,7.644193375159e-06,Low (11-50)
2020,Campania,1569819,Sud,1,,0.000110840803939817,High (101-500)
2020,Emilia Romagna,1966238,NordEst,0,,1.3731806627681e-05,Low (11-50)
2020,Emilia Romagna,1966238,NordEst,1,,6.1538837109241e-05,High (101-500)
2020,Friuli Venezia Giulia,506216,NordEst,0,,9.877206567947001e-06,Very low (1-10)
2020,Friuli Venezia Giulia,506216,NordEst,1,,4.5435150212557e-05,Low (11-50)
2020,Lazio,2258785,Centro,0,,9.73974946708e-06,Low (11-50)
2020,Lazio,2258785,Centro,1,,5.9766644457086e-05,High (101-500)
2020,Liguria,579517,NordOvest,0,,1.3804599347387e-05,Very low (1-10)
2020,Liguria,579517,NordOvest,1,,8.9729895758019e-05,Moderate (51-100)
2020,Lombardia,4315137,NordOvest,0,,1.4136283506178001e-05,Moderate (51-100)
2020,Lombardia,4315137,NordOvest,1,,6.5583085774565e-05,High (101-500)
2020,Marche,611817,Centro,0,,1.6344756683778998e-05,Very low (1-10)
2020,Marche,611817,Centro,1,,7.191692940863e-05,Low (11-50)
2020,Molise,103979,Sud,0,,9.617326575558e-06,Very low (1-10)
2020,Molise,103979,Sud,1,,0.000153877225208936,Low (11-50)
