Year,DescrRegione,Occupati,MacroRegione,Settore,Count,Percentage,PercentageOccupati,SummarisedCount
2018,Abruzzo,493923,Sud,Secondario,14,0.46666666666666656,2.8344499041348e-05,Low (11-50)
2018,Abruzzo,493923,Sud,Terziario,16,0.5333333333333333,3.2393713190112e-05,Low (11-50)
2018,Basilicata,185328,Sud,Primario,2,0.08333333333333331,1.0791677458344e-05,Very low (1-10)
2018,Basilicata,185328,Sud,Secondario,5,0.20833333333333337,2.6979193645859998e-05,Very low (1-10)
2018,Basilicata,185328,Sud,Terziario,17,0.7083333333333335,9.1729258395925e-05,Low (11-50)
2018,Calabria,540555,Sud,Secondario,15,0.28846153846153844,2.7749257707356e-05,Low (11-50)
2018,Calabria,540555,Sud,Terziario,37,0.7115384615384616,6.8448169011478e-05,Low (11-50)
2018,Campania,1640948,Sud,Primario,2,0.01834862385321101,1.218807664837e-06,Very low (1-10)
2018,Campania,1640948,Sud,Secondario,38,0.34862385321100925,2.3157345631914997e-05,Low (11-50)
2018,Campania,1640948,Sud,Terziario,69,0.6330275229357798,4.2048864436898e-05,Moderate (51-100)
2018,Emilia Romagna,1996335,NordEst,Secondario,38,0.304,1.9034881420201997e-05,Low (11-50)
2018,Emilia Romagna,1996335,NordEst,Terziario,87,0.696,4.3579860093620996e-05,Moderate (51-100)
2018,Friuli Venezia Giulia,507129,NordEst,Primario,2,0.06896551724137931,3.943769731172e-06,Very low (1-10)
2018,Friuli Venezia Giulia,507129,NordEst,Secondario,15,0.5172413793103448,2.9578272983797e-05,Low (11-50)
2018,Friuli Venezia Giulia,507129,NordEst,Terziario,12,0.41379310344827586,2.3662618387037e-05,Low (11-50)
2018,Lazio,2324973,Centro,Secondario,25,0.2358490566037736,1.0752813043419999e-05,Low (11-50)
2018,Lazio,2324973,Centro,Terziario,81,0.7641509433962264,3.4839114260681005e-05,Moderate (51-100)
2018,Liguria,601566,NordOvest,Secondario,14,0.30434782608695654,2.3272591868556e-05,Low (11-50)
2018,Liguria,601566,NordOvest,Terziario,32,0.6956521739130435,5.3194495699557e-05,Low (11-50)
2018,Lombardia,4393446,NordOvest,Primario,2,0.010362694300518137,4.5522353068639057e-07,Very low (1-10)
2018,Lombardia,4393446,NordOvest,Secondario,74,0.3834196891191709,1.6843270635396e-05,Moderate (51-100)
2018,Lombardia,4393446,NordOvest,Terziario,117,0.6062176165803109,2.6630576545153e-05,High (101-500)
2018,Marche,632187,Centro,Secondario,10,0.41666666666666674,1.581810445327e-05,Very low (1-10)
2018,Marche,632187,Centro,Terziario,14,0.5833333333333334,2.2145346234579e-05,Low (11-50)
2018,Molise,105958,Sud,Secondario,2,0.14285714285714285,1.8875403461748e-05,Very low (1-10)
2018,Molise,105958,Sud,Terziario,12,0.8571428571428571,0.000113252420770493,Low (11-50)
2018,Piemonte,1815546,NordOvest,Secondario,38,0.35185185185185186,2.0930342717838e-05,Low (11-50)
2018,Piemonte,1815546,NordOvest,Terziario,70,0.6481481481481481,3.8555894480227e-05,Moderate (51-100)
2018,Puglia,1201700,Sud,Secondario,19,0.23170731707317077,1.5810934509444e-05,Low (11-50)
2018,Puglia,1201700,Sud,Terziario,63,0.7682926829268293,5.2425730215528e-05,Moderate (51-100)
2018,Sardegna,573750,0,0,0,0.0,0.0,No deaths
2018,Sicilia,1342938,Sud,Primario,1,0.013157894736842105,7.44636014469767e-07,Very low (1-10)
2018,Sicilia,1342938,Sud,Secondario,23,0.30263157894736836,1.7126628332803998e-05,Low (11-50)
2018,Sicilia,1342938,Sud,Terziario,52,0.6842105263157895,3.8721072752427e-05,Moderate (51-100)
2018,Toscana,1578180,Centro,Primario,3,0.03333333333333333,1.90092384899e-06,Very low (1-10)
2018,Toscana,1578180,Centro,Secondario,32,0.35555555555555557,2.0276521055899e-05,Low (11-50)
2018,Toscana,1578180,Centro,Terziario,55,0.6111111111111112,3.4850270564827e-05,Moderate (51-100)
2018,Total,22958728,Total,Primario,14,0.011014948859166011,6.097898803452875e-07,Low (11-50)
2018,Total,22958728,Total,Secondario,430,0.3383162863886703,1.8729260610605e-05,High (101-500)
2018,Total,22958728,Total,Terziario,827,0.6506687647521636,3.6021159360396e-05,Very High (501-1000)
2018,Trentino Alto Adige,496171,NordEst,Secondario,3,0.1875,6.046302585197e-06,Very low (1-10)
2018,Trentino Alto Adige,496171,NordEst,Terziario,13,0.8125,2.6200644535855e-05,Low (11-50)
