Anno,Fascia d'età,Area Geografica,Occupati,Count,Percentage,PercentageOccupati
2018,0-14,NordOvest,0,1,0.026232948583420776,0.0
2018,0-14,Total,0,1,0.026232948583420776,0.0
2018,15+,Centro,4884790,241,6.322140608604407,5.319099124306886
2018,15+,NordEst,5123503,295,7.73871983210913,5.579036216640573
2018,15+,NordOvest,6865335,347,9.10283315844701,7.475735371750561
2018,15+,Sud,6085100,387,10.15215110178384,6.626129287301979
2018,15+,Total,22958728,0,0.0,25.0
2018,15-64,Centro,4741808,222,5.823714585519412,5.163404523107727
2018,15-64,NordEst,4976637,265,6.9517313746065055,5.419112287057018
2018,15-64,NordOvest,6688951,319,8.36831059811123,7.283668982009804
2018,15-64,Sud,5925218,365,9.575026232948582,6.452032098642399
2018,15-64,Total,22332614,1171,30.718782791185728,24.31821789081695
2018,65+,Centro,142982,19,0.49842602308499473,0.1556946011991605
2018,65+,NordEst,146866,30,0.7869884575026233,0.15992392958355534
2018,65+,NordOvest,176384,28,0.7345225603357817,0.19206638974075566
2018,65+,Sud,159882,22,0.577124868835257,0.1740971886595808
2018,65+,Total,626114,99,2.597061909758657,0.6817821091830523
2019,0-14,Centro,0,1,0.027434842249657067,0.0
2019,0-14,NordEst,0,2,0.054869684499314134,0.0
2019,0-14,Total,0,3,0.0823045267489712,0.0
2019,15+,Centro,4908361,244,6.694101508916324,5.309917109505848
2019,15+,NordEst,5188001,277,7.599451303155007,5.612434634297162
2019,15+,NordOvest,6920502,325,8.916323731138547,7.4866726339341065
2019,15+,Sud,6092541,367,10.068587105624143,6.590975622262883
2019,15+,Total,23109405,0,0.0,25.0
2019,15-64,Centro,4756690,225,6.172839506172839,5.145837809324818
2019,15-64,NordEst,5036210,256,7.023319615912209,5.448225516840438
2019,15-64,NordOvest,6731146,297,8.148148148148149,7.281825300132132
2019,15-64,Sud,5918668,346,9.492455418381345,6.402877962457277
2019,15-64,Total,22442714,1124,30.836762688614538,24.278766588754667
2019,65+,Centro,151671,19,0.5212620027434842,0.1640793001810302
2019,65+,NordEst,151791,21,0.5761316872427984,0.16420911745672379
2019,65+,NordOvest,189356,28,0.7681755829903978,0.2048473338019737
2019,65+,Sud,173873,21,0.5761316872427984,0.18809765980560728
2019,65+,Total,666691,89,2.4417009602194786,0.7212334112453349
2020,0-14,NordEst,0,2,0.03949447077409163,0.0
2020,0-14,Sud,0,1,0.019747235387045814,0.0
2020,0-14,Total,0,3,0.05924170616113744,0.0
2020,15+,Centro,4763433,305,6.022906793048973,5.319832588036287
