Anno,Sesso,Area Geografica,Occupati,Count,Percentage,PercentageOccupati
2018,F,Centro,2164380,21,0.8261211644374508,4.713632218649047
2018,F,NordEst,2260143,27,1.0621557828481512,4.9221868911901385
2018,F,NordOvest,3002792,39,1.5342250196695515,6.5395434799349506
2018,F,Sud,2249186,30,1.1801730920535012,4.898324506479628
2018,F,Total,9676501,117,4.6026750590086545,21.073687096253764
2018,M,Centro,2720410,220,8.654602675059008,5.924566029964726
2018,M,NordEst,2863360,268,10.54287962234461,6.235885542091007
2018,M,NordOvest,3862543,309,12.15578284815106,8.41192726356617
2018,M,Sud,3835914,357,14.044059795436665,8.353934068124332
2018,M,Total,13282227,1154,45.397324940991346,28.926312903746236
2019,F,Centro,2186161,20,0.8223684210526315,4.730024420793179
2019,F,NordEst,2290556,25,1.0279605263157896,4.955895662393731
2019,F,NordOvest,3034379,26,1.069078947368421,6.565246920031044
2019,F,Sud,2262671,29,1.192434210526316,4.895563083515132
2019,F,Total,9773767,100,4.111842105263158,21.146730086733083
2019,M,Centro,2722200,225,9.251644736842106,5.889809798218518
2019,M,NordEst,2897445,254,10.444078947368421,6.268973606200593
2019,M,NordOvest,3886123,299,12.294407894736842,8.40809834783717
2019,M,Sud,3829870,338,13.898026315789474,8.286388161010635
2019,M,Total,13335638,1116,45.88815789473684,28.853269913266917
2020,F,Centro,2098846,30,0.8880994671403196,4.688009403331424
2020,F,NordEst,2197450,33,0.9769094138543518,4.908252565148009
2020,F,NordOvest,2943136,75,2.2202486678507993,6.57382639949917
2020,F,Sud,2158412,50,1.4801657785671996,4.821056786569089
2020,F,Total,9397844,188,5.56542332741267,20.991145154547695
2020,M,Centro,2664587,275,8.140911782119598,5.95165577274115
2020,M,NordEst,2836606,277,8.200118413262285,6.335879622204935
2020,M,NordOvest,3752789,476,14.09117821195974,8.3822777472567
2020,M,Sud,3733432,473,14.002368265245707,8.339041703249523
2020,M,Total,12987414,1501,44.434576672587326,29.00885484545231
2021,F,Centro,2108793,43,1.5335235378031382,4.674995818915316
2021,F,NordEst,2224039,33,1.1768901569186876,4.9304853658489005
2021,F,NordOvest,2976347,36,1.2838801711840229,6.598281472217113
2021,F,Sud,2201173,38,1.355206847360913,4.879793593638296
2021,F,Total,9510352,150,5.349500713266762,21.083556250619626
2021,M,Centro,2674047,229,8.166904422253923,5.928110793512233
2021,M,NordEst,2832310,279,9.950071326676177,6.278964985122787
2021,M,NordOvest,3770811,331,11.80456490727532,8.359533467210808
2021,M,Sud,3766436,413,14.728958630527817,8.349834503534547
2021,M,Total,13043604,1252,44.650499286733236,28.916443749380377
2022,F,Centro,2191008,29,1.192434210526316,4.742566589742561
2022,F,NordEst,2287511,36,1.4802631578947367,4.951453049130169
2022,F,NordOvest,3016913,28,1.151315789473684,6.530286880723392
2022,F,Sud,2253766,39,1.6036184210526316,4.878409997908603
2022,F,Total,9749198,132,5.427631578947369,21.102716517504724
2022,M,Centro,2739147,234,9.62171052631579,5.92904592160027
2022,M,NordEst,2885959,247,10.15625,6.246829191297727
2022,M,NordOvest,3864081,305,12.541118421052634,8.364032194615001
2022,M,Sud,3861006,298,12.25328947368421,8.357376174982276
2022,M,Total,13350193,1084,44.57236842105263,28.897283482495272
2023,F,Centro,2210383,9,1.4150943396226416,4.68699738807725
2023,F,NordEst,2345155,3,0.4716981132075472,4.972774111833245
2023,F,NordOvest,3084958,9,1.4150943396226416,6.541486289176138
2023,F,Sud,2348060,6,0.9433962264150944,4.978934006933942
2023,F,Total,9988556,27,4.245283018867925,21.180191796020576
2023,M,Centro,2795761,65,10.220125786163523,5.928259720007004
2023,M,NordEst,2931370,41,6.446540880503145,6.215811256912494
2023,M,NordOvest,3906449,99,15.566037735849056,8.283413444483145
2023,M,Sud,3957811,86,13.522012578616351,8.39232378257678
2023,M,Total,13591391,291,45.75471698113208,28.819808203979424
2024,F,Centro,0,4,0.5847953216374269,nan
2024,F,NordEst,0,7,1.023391812865497,nan
2024,F,NordOvest,0,9,1.3157894736842104,nan
2024,F,Sud,0,9,1.3157894736842104,nan
2024,F,Total,0,29,4.239766081871345,nan
2024,M,Centro,0,61,8.91812865497076,nan
2024,M,NordEst,0,52,7.602339181286549,nan
2024,M,NordOvest,0,97,14.181286549707602,nan
2024,M,Sud,0,103,15.058479532163743,nan
2024,M,Total,0,313,45.760233918128655,nan
