Anno,DescrAtecoLiv1,Area Geografica,Occupati,Numero morti,Percentage,PercentageOccupati
2018,"Agricoltura, silvicoltura e pesca",Centro,1927630,3,0.11801730920535011,0.2498299012879955
2018,"Agricoltura, silvicoltura e pesca",NordEst,507129,1,0.03933910306845004,0.06572630017704637
2018,"Agricoltura, silvicoltura e pesca",NordOvest,4393446,2,0.07867820613690008,0.5694112358150365
2018,"Agricoltura, silvicoltura e pesca",Sud,3169214,5,0.1966955153422502,0.41074501889913184
2018,"Agricoltura, silvicoltura e pesca",Total,22958728,11,0.4327301337529505,2.9755589765348844
2018,Altre attivita' di servizi,Centro,2324973,1,0.03933910306845004,0.3013274202452
2018,Altre attivita' di servizi,NordEst,2123868,2,0.07867820613690008,0.27526326773744575
2018,Altre attivita' di servizi,NordOvest,6810558,9,0.35405192761605037,0.8826803031993526
2018,Altre attivita' di servizi,Sud,2842648,7,0.2753737214791503,0.36842053155248566
2018,Altre attivita' di servizi,Total,22958728,19,0.7474429583005507,2.9755589765348844
2018,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Centro,4252603,3,0.11801730920535011,0.5511573215331955
2018,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",NordEst,2492506,7,0.2753737214791503,0.323040483879031
2018,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",NordOvest,6208992,6,0.23603461841070023,0.8047145242904261
2018,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Sud,4832099,10,0.3933910306845004,0.6262627247883784
2018,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Total,22958728,26,1.0228166797797011,2.9755589765348844
2018,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Centro,349450,1,0.03933910306845004,0.04529036122341427
2018,"Attivita' artistiche, sportive, di intrattenimento e divertimento",NordEst,4627332,3,0.11801730920535011,0.5997239598817112
2018,"Attivita' artistiche, sportive, di intrattenimento e divertimento",NordOvest,4393446,2,0.07867820613690008,0.5694112358150365
2018,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Sud,1342938,1,0.03933910306845004,0.1740510720293304
2018,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Total,22958728,7,0.2753737214791503,2.9755589765348844
