Anno,Settore,Area Geografica,Occupati,Numero morti,Percentage,PercentageOccupati
2018,Primario,Centro,1927630,4,0.15735641227380015,1.526395558033169
2018,Primario,NordEst,2630997,3,0.11801730920535011,2.0833573528107543
2018,Primario,NordOvest,4393446,2,0.07867820613690008,3.478954186674099
2018,Primario,Sud,3169214,5,0.1966955153422502,2.5095449707965387
2018,Primario,Total,22958728,14,0.5507474429583006,18.17988952096188
2018,Secondario,Centro,4884790,79,3.107789142407553,3.8680253772377706
2018,Secondario,NordEst,5123503,109,4.287962234461054,4.0570504820788305
2018,Secondario,NordOvest,6810558,126,4.956726986624705,5.392946508887735
2018,Secondario,Sud,5511350,116,4.563335955940205,4.364167479633594
2018,Secondario,Total,22958728,430,16.915814319433515,18.17988952096188
2018,Terziario,Centro,4884790,158,6.215578284815106,3.8680253772377706
2018,Terziario,NordEst,5123503,183,7.199055861526357,4.0570504820788305
2018,Terziario,NordOvest,6865335,220,8.654602675059008,5.436321725854882
2018,Terziario,Sud,5511350,266,10.464201416207711,4.364167479633594
2018,Terziario,Total,22958728,827,32.53343823760818,18.17988952096188
2019,Primario,Centro,2965952,3,0.12335526315789473,2.2560100994216006
2019,Primario,NordEst,2653823,3,0.12335526315789473,2.018593520757359
2019,Primario,NordOvest,6263555,2,0.08223684210526315,4.764285915039308
2019,Primario,Sud,4675792,8,0.3289473684210526,3.5565760925310745
2019,Primario,Total,23109405,16,0.6578947368421052,17.577847204413303
2019,Secondario,Centro,4908361,77,3.1661184210526314,3.7334764647597494
2019,Secondario,NordEst,5188001,113,4.646381578947369,3.9461807378573104
2019,Secondario,NordOvest,6865303,156,6.4144736842105265,5.221997154232238
2019,Secondario,Sud,5510508,123,5.057565789473684,4.191491197748152
2019,Secondario,Total,23109405,469,19.284539473684212,17.577847204413303
2019,Terziario,Centro,4908361,165,6.784539473684211,3.7334764647597494
2019,Terziario,NordEst,5188001,163,6.702302631578948,3.9461807378573104
2019,Terziario,NordOvest,6920502,167,6.8667763157894735,5.2639835051502475
2019,Terziario,Sud,5510508,236,9.703947368421053,4.191491197748152
2019,Terziario,Total,23109405,731,30.057565789473685,17.577847204413303
2020,Primario,Centro,2504648,4,0.11841326228537595,2.0045793748598197
2020,Primario,NordEst,2958629,4,0.11841326228537595,2.367920231210986
2020,Primario,NordOvest,6063305,3,0.08880994671403197,4.852728266201247
2020,Primario,Sud,2045180,2,0.059206631142687975,1.6368470323477813
2020,Primario,Total,22385258,13,0.3848431024274719,17.915901351293986
2020,Secondario,Centro,4763433,87,2.575488454706927,3.8123838341062837
2020,Secondario,NordEst,5034056,121,3.582001184132623,4.028975260990497
2020,Secondario,NordOvest,6695925,150,4.440497335701599,5.3590417298591415
2020,Secondario,Sud,5340104,138,4.085257548845471,4.2739188652483
2020,Secondario,Total,22385258,496,14.683244523386618,17.915901351293986
2020,Terziario,Centro,4763433,214,6.335109532267615,3.8123838341062837
2020,Terziario,NordEst,5034056,185,5.476613380698638,4.028975260990497
2020,Terziario,NordOvest,6695925,398,11.782119597394908,5.3590417298591415
2020,Terziario,Sud,5340104,383,11.338069863824748,4.2739188652483
2020,Terziario,Total,22385258,1180,34.931912374185906,17.915901351293986
2021,Primario,Centro,2265747,1,0.03566333808844508,1.7776055624899854
2021,Primario,NordEst,4546049,4,0.14265335235378032,3.5666303385823896
2021,Primario,NordOvest,4332517,1,0.03566333808844508,3.3991025117907796
2021,Primario,Sud,4109720,4,0.14265335235378032,3.2243057730083464
2021,Primario,Total,22553956,10,0.3566333808844508,17.694843087844482
2021,Secondario,Centro,4782840,82,2.9243937232524964,3.752406155011835
2021,Secondario,NordEst,5056349,121,4.315263908701854,3.9669893012285455
2021,Secondario,NordOvest,6747158,138,4.921540656205421,5.293523765803862
2021,Secondario,Sud,5404412,136,4.850213980028531,4.240064240706321
2021,Secondario,Total,22553956,477,17.0114122681883,17.694843087844482
2021,Terziario,Centro,4782840,189,6.740370898716119,3.752406155011835
2021,Terziario,NordEst,5056349,187,6.669044222539229,3.9669893012285455
2021,Terziario,NordOvest,6747158,228,8.131241084165477,5.293523765803862
2021,Terziario,Sud,5404412,311,11.09129814550642,4.240064240706321
2021,Terziario,Total,22553956,915,32.631954350927245,17.694843087844482
2022,Primario,Centro,1617713,1,0.041118421052631575,1.2525007423815824
2022,Primario,NordEst,2651681,5,0.20559210526315788,2.0530418072050707
2022,Primario,NordOvest,6825830,4,0.1644736842105263,5.284841713190459
2022,Primario,Sud,3132618,3,0.12335526315789473,2.42540325174979
2022,Primario,Total,23099391,13,0.5345394736842105,17.88451003117515
2022,Secondario,Centro,4930155,77,3.1661184210526314,3.817131220158502
2022,Secondario,NordEst,5173470,100,4.111842105263158,4.005515821217265
2022,Secondario,NordOvest,6880994,147,6.044407894736842,5.327551978208257
2022,Secondario,Sud,5548621,84,3.453947368421053,4.295973341188479
2022,Secondario,Total,23099391,408,16.776315789473685,17.88451003117515
2022,Terziario,Centro,4930155,185,7.606907894736842,3.817131220158502
2022,Terziario,NordEst,5173470,178,7.319078947368421,4.005515821217265
2022,Terziario,NordOvest,6880994,182,7.483552631578948,5.327551978208257
2022,Terziario,Sud,5548621,250,10.279605263157894,4.295973341188479
2022,Terziario,Total,23099391,795,32.68914473684211,17.88451003117515
2023,Primario,Centro,361596,1,0.15723270440251574,0.2968916016819785
2023,Primario,NordEst,507708,1,0.15723270440251574,0.4168581546995927
2023,Primario,NordOvest,4500716,1,0.15723270440251574,3.695352774797585
2023,Primario,Sud,1683953,1,0.15723270440251574,1.3826245404461686
2023,Primario,Total,23579947,4,0.628930817610063,19.36052454232393
2023,Secondario,Centro,5006144,18,2.8301886792452833,4.110338915282876
2023,Secondario,NordEst,3050774,12,1.8867924528301887,2.50486504062472
2023,Secondario,NordOvest,6934594,27,4.245283018867925,5.6937098852704064
2023,Secondario,Sud,5428674,23,3.6163522012578615,4.457260917900953
2023,Secondario,Total,23579947,80,12.578616352201259,19.36052454232393
2023,Terziario,Centro,5006144,55,8.647798742138365,4.110338915282876
2023,Terziario,NordEst,3050774,31,4.8742138364779874,2.50486504062472
2023,Terziario,NordOvest,6991407,80,12.578616352201259,5.740356702620041
2023,Terziario,Sud,5622849,68,10.69182389937107,4.616690023191382
2023,Terziario,Total,23579947,234,36.79245283018868,19.36052454232393
2024,Primario,Centro,0,1,0.14619883040935672,nan
2024,Primario,NordEst,0,2,0.29239766081871343,nan
2024,Primario,Sud,0,1,0.14619883040935672,nan
2024,Primario,Total,0,4,0.5847953216374269,nan
2024,Secondario,Centro,0,17,2.4853801169590644,nan
2024,Secondario,NordEst,0,23,3.3625730994152043,nan
