Anno,Regione,Occupati,Area Geografica,DescrAtecoLiv1,Settore,Numero Incidenti,Percentage,PercentageOccupati
2018,Abruzzo,493923,Sud,"Agricoltura, silvicoltura e pesca",Primario,31.0,0.002453688606336532,0.006276281930584321
2018,Abruzzo,493923,Sud,Altre attivita' di servizi,Terziario,180.0,0.014247224165825025,0.036442927338876704
2018,Abruzzo,493923,Sud,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Terziario,280.0,0.02216234870239448,0.0566889980826971
2018,Abruzzo,493923,Sud,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Terziario,110.0,0.008706636990226405,0.022270677818202432
2018,Abruzzo,493923,Sud,Attivita' dei servizi di alloggio e di ristorazione,Terziario,612.0,0.04844056216380509,0.12390595295218079
2018,Abruzzo,493923,Sud,Attivita' finanziarie e assicurative,Terziario,62.0,0.004907377212673064,0.012552563861168643
2018,Abruzzo,493923,Sud,Attivita' immobiliari,Terziario,14.0,0.0011081174351197241,0.002834449904134855
2018,Abruzzo,493923,Sud,Attivita' manifatturiere,Secondario,2136.0,0.16906706010112363,0.4324560710880036
2018,Abruzzo,493923,Sud,"Attivita' professionali, scientifiche e tecniche",Terziario,72.0,0.00569888966633001,0.014577170935550684
2018,Abruzzo,493923,Sud,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,1017.0,0.08049681653691139,0.20590253946465342
2018,Abruzzo,493923,Sud,Costruzioni,Secondario,1086.0,0.08595825246714431,0.21987232827788947
2018,Abruzzo,493923,Sud,Estrazione di minerali da cave e miniere,Primario,17.0,0.001345571171216808,0.003441832026449467
2018,Abruzzo,493923,Sud,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Secondario,318.0,0.02517009602629088,0.06438250496534885
2018,Abruzzo,493923,Sud,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Secondario,13.0,0.0010289661897540296,0.002631989196696651
2018,Abruzzo,493923,Sud,Istruzione,Terziario,31.0,0.002453688606336532,0.006276281930584321
2018,Abruzzo,493923,Sud,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Terziario,504.0,0.03989222766431007,0.10204019654885478
2018,Abruzzo,493923,Sud,Non determinato,Terziario,5205.0,0.4119822321284403,1.0538079822158515
2018,Abruzzo,493923,Sud,Sanita' e assistenza sociale,Terziario,1367.0,0.10819975241490451,0.2767637870680248
2018,Abruzzo,493923,Sud,Servizi di informazione e comunicazione,Terziario,67.0,0.0053031334395015365,0.013564867398359663
2018,Abruzzo,493923,Sud,Trasporto e magazzinaggio,Terziario,791.0,0.06260863508426442,0.1601464195836193
2018,Basilicata,185328,Sud,"Agricoltura, silvicoltura e pesca",Primario,19.0,0.0015038736619481972,0.010252093585426919
2018,Basilicata,185328,Sud,Altre attivita' di servizi,Terziario,42.0,0.0033243523053591724,0.022662522662522663
2018,Basilicata,185328,Sud,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Terziario,127.0,0.010052208161443211,0.06852715186048519
2018,Basilicata,185328,Sud,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Terziario,28.0,0.0022162348702394483,0.015108348441681773
2018,Basilicata,185328,Sud,Attivita' dei servizi di alloggio e di ristorazione,Terziario,166.0,0.013139106730705301,0.08957092290425624
2018,Basilicata,185328,Sud,Attivita' finanziarie e assicurative,Terziario,24.0,0.0018996298887766702,0.01295001295001295
2018,Basilicata,185328,Sud,Attivita' immobiliari,Terziario,1.0,7.915124536569459e-05,0.0005395838729172062
2018,Basilicata,185328,Sud,Attivita' manifatturiere,Secondario,555.0,0.04392894117796049,0.29946904946904945
2018,Basilicata,185328,Sud,"Attivita' professionali, scientifiche e tecniche",Terziario,37.0,0.0029285960785306996,0.01996460329793663
