Anno,Regione,Occupati,Area Geografica,Nazione,Count,Percentage,PercentageOccupati
2018,Abruzzo,493923,Sud,0.0,1592,0.0630043913110929,0.3223174462416207
2018,Abruzzo,493923,Sud,1.0,12321,0.4876112470753615,2.4945183763461105
2018,Basilicata,185328,Sud,0.0,295,0.01167480869143995,0.15917724251057586
2018,Basilicata,185328,Sud,1.0,4377,0.1732225004828226,2.361758611758612
2018,Calabria,540555,Sud,0.0,600,0.023745373609708374,0.1109970308294253
2018,Calabria,540555,Sud,1.0,9534,0.37731398665826604,1.7637428198795682
2018,Campania,1640948,Sud,0.0,1074,0.04250421876137799,0.06544997160178141
2018,Campania,1640948,Sud,1.0,21929,0.8678538298121583,1.3363616641112332
2018,Emilia Romagna,1996335,NordEst,0.0,20411,0.8077780345795961,1.0224235912309305
2018,Emilia Romagna,1996335,NordEst,1.0,65946,2.6098540134430475,3.303353395096514
2018,Friuli Venezia Giulia,,NordEst,0.0,3885,0.15375129412286173,0.0
2018,Friuli Venezia Giulia,,NordEst,1.0,13408,0.5306299489316165,0.0
2018,Friuli-Venezia Giulia,507129,,,0,0.0,0.0
2018,Lazio,2324973,Centro,0.0,5003,0.197996840282285,0.21518529462492683
2018,Lazio,2324973,Centro,1.0,40028,1.5841330247490113,1.7216544020081093
2018,Liguria,601566,NordOvest,0.0,3002,0.11880601929390756,0.4990308627814737
2018,Liguria,601566,NordOvest,1.0,17632,0.6977973791439634,2.9310167130456177
2018,Lombardia,4393446,NordOvest,0.0,24222,0.9586007326239271,0.5513212180142877
2018,Lombardia,4393446,NordOvest,1.0,95944,3.7970435426831006,2.1837983214087533
2018,Marche,632187,Centro,0.0,3058,0.12102225416414701,0.4837176341810256
2018,Marche,632187,Centro,1.0,15662,0.6198334024587543,2.4774315194712955
2018,Molise,105958,Sud,0.0,146,0.005778040911695705,0.13779044527076767
2018,Molise,105958,Sud,1.0,1994,0.07891379162959751,1.8818777251363747
2018,Piemonte,1815546,NordOvest,0.0,7454,0.2949966914779437,0.41056519636517064
