Anno,Regione,Occupati,Area Geografica,Settore,Numero Incidenti,Percentage,PercentageOccupati
2018,Abruzzo,493923,Sud,Primario,48.0,0.34500107812836917,0.00971811395703379
2018,Abruzzo,493923,Sud,Secondario,3553.0,25.537267303960327,0.7193428935279386
2018,Abruzzo,493923,Sud,Terziario,10312.0,74.1177316179113,2.0877748151027586
2018,Basilicata,185328,Sud,Primario,29.0,0.6207191780821918,0.015647932314598982
2018,Basilicata,185328,Sud,Secondario,968.0,20.71917808219178,0.5223171889838557
2018,Basilicata,185328,Sud,Terziario,3675.0,78.66010273972603,1.982970732970733
2018,Calabria,540555,Sud,Primario,32.0,0.3157686994276693,0.0059198416442360164
2018,Calabria,540555,Sud,Secondario,1516.0,14.959542135385831,0.2804524978956813
2018,Calabria,540555,Sud,Terziario,8586.0,84.7246891651865,1.588367511169076
2018,Campania,1640948,Sud,Primario,58.0,0.25214102508368474,0.0035345422280291636
2018,Campania,1640948,Sud,Secondario,4303.0,18.706255705777508,0.2622264690898188
2018,Campania,1640948,Sud,Terziario,18642.0,81.0416032691388,1.1360506243951667
2018,Emilia Romagna,1996335,NordEst,Primario,258.0,0.2987597994372199,0.01292368264845329
2018,Emilia Romagna,1996335,NordEst,Secondario,24708.0,28.611461722848176,1.2376680266588522
2018,Emilia Romagna,1996335,NordEst,Terziario,61391.0,71.0897784777146,3.0751852770201396
2018,Friuli Venezia Giulia,,NordEst,Primario,47.0,0.2717862719019256,0.0
2018,Friuli Venezia Giulia,,NordEst,Secondario,4973.0,28.757300641878214,0.0
2018,Friuli Venezia Giulia,,NordEst,Terziario,12273.0,70.97091308621985,0.0
2018,Friuli-Venezia Giulia,507129,,,,0.0,0.0
2018,Lazio,2324973,Centro,Primario,113.0,0.2509382425440252,0.004860271495625971
2018,Lazio,2324973,Centro,Secondario,6249.0,13.877106881925785,0.2687773148333335
2018,Lazio,2324973,Centro,Terziario,38669.0,85.8719548755302,1.6632021103040766
2018,Liguria,601566,NordOvest,Primario,22.0,0.106620141514006,0.0036571215793445777
2018,Liguria,601566,NordOvest,Secondario,4112.0,19.928273722981487,0.6835492697393137
2018,Liguria,601566,NordOvest,Terziario,16500.0,79.9651061355045,2.742841184508433
2018,Lombardia,4393446,NordOvest,Primario,226.0,0.18807316545445465,0.0051440258967562135
2018,Lombardia,4393446,NordOvest,Secondario,32618.0,27.144117304395586,0.7424240561964345
2018,Lombardia,4393446,NordOvest,Terziario,87322.0,72.66780953014997,1.9875514573298498
2018,Marche,632187,Centro,Primario,67.0,0.3579059829059829,0.010598129983691534
2018,Marche,632187,Centro,Secondario,5620.0,30.02136752136752,0.8889774702738271
2018,Marche,632187,Centro,Terziario,13033.0,69.62072649572649,2.0615735533948025
2018,Molise,105958,Sud,Primario,6.0,0.2803738317757009,0.005662621038524699
2018,Molise,105958,Sud,Secondario,398.0,18.598130841121495,0.375620528888805
2018,Molise,105958,Sud,Terziario,1736.0,81.12149532710279,1.638385020479813
2018,Piemonte,1815546,NordOvest,Primario,86.0,0.17968701030066234,0.004736867036142295
2018,Piemonte,1815546,NordOvest,Secondario,11495.0,24.017467248908297,0.633142867214601
2018,Piemonte,1815546,NordOvest,Terziario,36280.0,75.80284574079104,1.998296931060959
2018,Puglia,1201700,Sud,Primario,92.0,0.2955823293172691,0.00765582092036282
2018,Puglia,1201700,Sud,Secondario,5725.0,18.393574297188756,0.4764084214030124
2018,Puglia,1201700,Sud,Terziario,25308.0,81.31084337349398,2.1060164766580676
2018,Sardegna,573750,,,,0.0,0.0
2018,Sicilia,1342938,Sud,Primario,69.0,0.24422185254663223,0.005137988499841393
2018,Sicilia,1342938,Sud,Secondario,4299.0,15.216083247796695,0.3201190226205528
2018,Sicilia,1342938,Sud,Terziario,23885.0,84.53969489965667,1.7785631205610386
2018,Toscana,1578180,Centro,Primario,243.0,0.4938221427410177,0.015397483176823936
2018,Toscana,1578180,Centro,Secondario,12021.0,24.428954641521706,0.7617001862905373
2018,Toscana,1578180,Centro,Terziario,36944.0,75.07722321573728,2.3409243559036357
2018,Total,,Total,Primario,1808.0,0.2862109032423516,0.0
2018,Total,,Total,Secondario,155770.0,24.65877898122849,0.0
2018,Total,,Total,Terziario,474124.0,75.05501011552916,0.0
2018,Trentino Alto Adige,496171,NordEst,Primario,137.0,0.5618668744617151,0.02761144847240165
2018,Trentino Alto Adige,496171,NordEst,Secondario,5712.0,23.426157568797933,1.1512160122215929
