Anno,Regione,Fascia d'età,Occupati,Area Geografica,Count,Percentage,PercentageOccupati
2018,Abruzzo,15+,493923,Sud,30,0.7869884575026233,0.006073821223146118
2018,Abruzzo,15-64,480993,Sud,30,0.7869884575026233,0.006237097005569728
2018,Abruzzo,65+,12930,,0,0.0,0.0
2018,Basilicata,15+,185328,Sud,24,0.6295907660020986,0.01295001295001295
2018,Basilicata,15-64,180240,Sud,24,0.6295907660020986,0.013315579227696404
2018,Basilicata,65+,5088,,0,0.0,0.0
2018,Calabria,15+,540555,Sud,52,1.3641133263378804,0.009619742671883527
2018,Calabria,15-64,526386,Sud,49,1.285414480587618,0.009308758211654566
2018,Calabria,65+,14169,Sud,3,0.07869884575026233,0.021172983273343216
2018,Campania,15+,1640948,Sud,109,2.8593913955928647,0.006642501773365152
2018,Campania,15-64,1592168,Sud,104,2.728226652675761,0.00653197401279262
2018,Campania,65+,48780,Sud,5,0.13116474291710387,0.01025010250102501
2018,Emilia Romagna,15+,1996335,NordEst,125,3.2791185729275973,0.006261474151382408
2018,Emilia Romagna,15-64,1933976,NordEst,108,2.8331584470094437,0.005584350581392943
2018,Emilia Romagna,65+,62359,NordEst,17,0.4459601259181532,0.02726150194839558
2018,Friuli Venezia Giulia,15+,,NordEst,29,0.7607555089192025,0.0
2018,Friuli Venezia Giulia,15-64,,NordEst,29,0.7607555089192025,0.0
2018,Friuli-Venezia Giulia,15+,507129,,0,0.0,0.0
2018,Friuli-Venezia Giulia,15-64,492827,,0,0.0,0.0
2018,Friuli-Venezia Giulia,65+,14302,,0,0.0,0.0
2018,Lazio,15+,2324973,Centro,106,2.7806925498426023,0.004559192730410203
2018,Lazio,15-64,2266442,Centro,102,2.6757607555089193,0.004500446073625534
2018,Lazio,65+,58531,Centro,4,0.1049317943336831,0.006833985409441151
2018,Liguria,15+,601566,NordOvest,46,1.2067156348373556,0.007646708756811389
2018,Liguria,15-64,580429,NordOvest,43,1.1280167890870934,0.007408313506044668
2018,Liguria,65+,21137,NordOvest,3,0.07869884575026233,0.014193121067322706
2018,Lombardia,0-14,,NordOvest,1,0.026232948583420776,0.0
2018,Lombardia,15+,4393446,NordOvest,192,5.036726128016789,0.004370145894589349
2018,Lombardia,15-64,4289161,NordOvest,182,4.774396642182581,0.00424325410027742
2018,Lombardia,65+,104285,NordOvest,10,0.26232948583420773,0.009589106774703936
2018,Marche,15+,632187,Centro,24,0.6295907660020986,0.0037963450687850267
2018,Marche,15-64,611992,Centro,21,0.5508919202518363,0.0034314174041490736
2018,Marche,65+,20195,Centro,3,0.07869884575026233,0.014855162168853677
2018,Molise,15+,105958,Sud,14,0.36726128016789084,0.013212782423224295
2018,Molise,15-64,103578,Sud,12,0.3147953830010493,0.011585471818339802
2018,Molise,65+,2380,Sud,2,0.05246589716684155,0.08403361344537816
2018,Piemonte,15+,1815546,NordOvest,108,2.8331584470094437,0.005948623719806604
2018,Piemonte,15-64,1765875,NordOvest,93,2.439664218258132,0.005266510936504566
2018,Piemonte,65+,49671,NordOvest,15,0.3934942287513116,0.0301987074953192
2018,Puglia,15+,1201700,Sud,82,2.1511017838405038,0.0068236664724972956
2018,Puglia,15-64,1177093,Sud,77,2.0199370409234,0.006541539198686935
2018,Puglia,65+,24607,Sud,5,0.13116474291710387,0.020319421302881294
2018,Sardegna,15+,573750,,0,0.0,0.0
2018,Sardegna,15-64,557293,,0,0.0,0.0
2018,Sardegna,65+,16457,,0,0.0,0.0
2018,Sicilia,15+,1342938,Sud,76,1.993704092339979,0.00565923370997023
2018,Sicilia,15-64,1307467,Sud,69,1.8100734522560336,0.005277379849739993
2018,Sicilia,65+,35471,Sud,7,0.18363064008394542,0.01973443094358772
2018,Toscana,15+,1578180,Centro,90,2.36096537250787,0.005702771546971829
2018,Toscana,15-64,1524380,Centro,79,2.0724029380902413,0.00518243482596203
2018,Toscana,65+,53800,Centro,11,0.2885624344176285,0.020446096654275093
2018,Total,0-14,,Total,1,0.026232948583420776,0.0
2018,Total,15-64,,Total,1171,30.718782791185728,0.0
2018,Total,65+,,Total,99,2.597061909758657,0.0
2018,Trentino Alto Adige,15+,496171,NordEst,16,0.4197271773347324,0.0032246947121053024
2018,Trentino Alto Adige,15-64,483499,NordEst,16,0.4197271773347324,0.003309210567136643
2018,Trentino Alto Adige,65+,12672,,0,0.0,0.0
2018,Umbria,15+,349450,Centro,21,0.5508919202518363,0.006009443411074546
2018,Umbria,15-64,338994,Centro,20,0.5246589716684155,0.005899809436155212
2018,Umbria,65+,10456,Centro,1,0.026232948583420776,0.009563886763580718
2018,Valle D'Aosta,15+,54777,NordOvest,1,0.026232948583420776,0.0018255837303977945
2018,Valle D'Aosta,15-64,53486,NordOvest,1,0.026232948583420776,0.0018696481322215159
2018,Valle D'Aosta,65+,1291,,0,0.0,0.0
2018,Veneto,15+,2123868,NordEst,125,3.2791185729275973,0.005885488175347998
