Anno,Regione,Occupati,Area Geografica,DescrAtecoLiv1,Settore,Count,Percentage,PercentageOccupati
2018,Abruzzo,493923,Sud,Attivita' manifatturiere,Secondario,9,0.35405192761605037,0.0018221463669438355
2018,Abruzzo,493923,Sud,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,3,0.11801730920535011,0.0006073821223146118
2018,Abruzzo,493923,Sud,Costruzioni,Secondario,4,0.15735641227380015,0.0008098428297528158
2018,Abruzzo,493923,Sud,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Secondario,1,0.03933910306845004,0.00020246070743820395
2018,Abruzzo,493923,Sud,Non determinato,Terziario,10,0.3933910306845004,0.0020246070743820395
2018,Abruzzo,493923,Sud,Trasporto e magazzinaggio,Terziario,3,0.11801730920535011,0.0006073821223146118
2018,Basilicata,185328,Sud,"Agricoltura, silvicoltura e pesca",Primario,2,0.07867820613690008,0.0010791677458344125
2018,Basilicata,185328,Sud,Attivita' dei servizi di alloggio e di ristorazione,Terziario,2,0.07867820613690008,0.0010791677458344125
2018,Basilicata,185328,Sud,Attivita' manifatturiere,Secondario,2,0.07867820613690008,0.0010791677458344125
2018,Basilicata,185328,Sud,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,1,0.03933910306845004,0.0005395838729172062
2018,Basilicata,185328,Sud,Costruzioni,Secondario,2,0.07867820613690008,0.0010791677458344125
2018,Basilicata,185328,Sud,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Secondario,1,0.03933910306845004,0.0005395838729172062
2018,Basilicata,185328,Sud,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Terziario,1,0.03933910306845004,0.0005395838729172062
2018,Basilicata,185328,Sud,Non determinato,Terziario,9,0.35405192761605037,0.004856254856254856
2018,Basilicata,185328,Sud,Trasporto e magazzinaggio,Terziario,4,0.15735641227380015,0.002158335491668825
2018,Calabria,540555,Sud,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Terziario,2,0.07867820613690008,0.00036999010276475103
2018,Calabria,540555,Sud,Attivita' dei servizi di alloggio e di ristorazione,Terziario,2,0.07867820613690008,0.00036999010276475103
2018,Calabria,540555,Sud,"Attivita' professionali, scientifiche e tecniche",Terziario,1,0.03933910306845004,0.00018499505138237551
