Anno,Regione,Occupati,Area Geografica,Settore,Count,Percentage,PercentageOccupati
2018,Abruzzo,493923,Sud,Secondario,14,46.666666666666664,0.002834449904134855
2018,Abruzzo,493923,Sud,Terziario,16,53.333333333333336,0.003239371319011263
2018,Basilicata,185328,Sud,Primario,2,8.333333333333332,0.0010791677458344125
2018,Basilicata,185328,Sud,Secondario,5,20.833333333333336,0.0026979193645860315
2018,Basilicata,185328,Sud,Terziario,17,70.83333333333334,0.009172925839592507
2018,Calabria,540555,Sud,Secondario,15,28.846153846153843,0.0027749257707356326
2018,Calabria,540555,Sud,Terziario,37,71.15384615384616,0.006844816901147894
2018,Campania,1640948,Sud,Primario,2,1.834862385321101,0.00012188076648376427
2018,Campania,1640948,Sud,Secondario,38,34.862385321100916,0.002315734563191521
2018,Campania,1640948,Sud,Terziario,69,63.30275229357798,0.004204886443689867
2018,Emilia Romagna,1996335,NordEst,Secondario,38,30.4,0.0019034881420202522
2018,Emilia Romagna,1996335,NordEst,Terziario,87,69.6,0.0043579860093621555
2018,Friuli Venezia Giulia,0,NordEst,Primario,2,6.896551724137931,inf
2018,Friuli Venezia Giulia,0,NordEst,Secondario,15,51.724137931034484,inf
2018,Friuli Venezia Giulia,0,NordEst,Terziario,12,41.37931034482759,inf
2018,Friuli-Venezia Giulia,507129,,,0,0.0,0.0
2018,Lazio,2324973,Centro,Secondario,25,23.58490566037736,0.001075281304342029
2018,Lazio,2324973,Centro,Terziario,81,76.41509433962264,0.0034839114260681735
2018,Liguria,601566,NordOvest,Secondario,14,30.434782608695656,0.00232725918685564
2018,Liguria,601566,NordOvest,Terziario,32,69.56521739130434,0.005319449569955749
2018,Lombardia,4393446,NordOvest,Primario,2,1.0362694300518136,4.552235306863906e-05
2018,Lombardia,4393446,NordOvest,Secondario,74,38.34196891191709,0.0016843270635396453
2018,Lombardia,4393446,NordOvest,Terziario,117,60.62176165803109,0.002663057654515385
2018,Marche,632187,Centro,Secondario,10,41.66666666666667,0.0015818104453270945
2018,Marche,632187,Centro,Terziario,14,58.333333333333336,0.0022145346234579326
2018,Molise,105958,Sud,Secondario,2,14.285714285714285,0.0018875403461748993
2018,Molise,105958,Sud,Terziario,12,85.71428571428571,0.011325242077049397
2018,Piemonte,1815546,NordOvest,Secondario,38,35.18518518518518,0.0020930342717838052
2018,Piemonte,1815546,NordOvest,Terziario,70,64.81481481481481,0.0038555894480227985
2018,Puglia,1201700,Sud,Secondario,19,23.170731707317074,0.0015810934509444953
2018,Puglia,1201700,Sud,Terziario,63,76.82926829268293,0.005242573021552801
2018,Sardegna,573750,,,0,0.0,0.0
2018,Sicilia,1342938,Sud,Primario,1,1.3157894736842104,7.44636014469767e-05
2018,Sicilia,1342938,Sud,Secondario,23,30.263157894736842,0.0017126628332804642
2018,Sicilia,1342938,Sud,Terziario,52,68.42105263157895,0.0038721072752427887
2018,Toscana,1578180,Centro,Primario,3,3.3333333333333335,0.00019009238489906094
2018,Toscana,1578180,Centro,Secondario,32,35.55555555555556,0.0020276521055899834
2018,Toscana,1578180,Centro,Terziario,55,61.111111111111114,0.003485027056482784
2018,Total,0,Total,Primario,28,1.1014948859166012,inf
2018,Total,0,Total,Secondario,860,33.83162863886703,inf
2018,Total,0,Total,Terziario,1654,65.06687647521636,inf
2018,Trentino Alto Adige,496171,NordEst,Secondario,3,18.75,0.0006046302585197442
2018,Trentino Alto Adige,496171,NordEst,Terziario,13,81.25,0.002620064453585558
2018,Umbria,349450,Centro,Primario,1,4.761904761904762,0.00028616397195593076
2018,Umbria,349450,Centro,Secondario,12,57.14285714285714,0.003433967663471169
2018,Umbria,349450,Centro,Terziario,8,38.095238095238095,0.002289311775647446
2018,Valle D'Aosta,54777,NordOvest,Terziario,1,100.0,0.0018255837303977945
2018,Veneto,2123868,NordEst,Primario,1,0.8,4.708390540278398e-05
2018,Veneto,2123868,NordEst,Secondario,53,42.4,0.0024954469863475506
2018,Veneto,2123868,NordEst,Terziario,71,56.8,0.0033429572835976624
2019,Abruzzo,492615,Sud,Primario,1,2.857142857142857,0.0002029982846644946
2019,Abruzzo,492615,Sud,Secondario,13,37.142857142857146,0.00263897770063843
2019,Abruzzo,492615,Sud,Terziario,21,60.0,0.0042629639779543866
2019,Basilicata,187581,Sud,Secondario,7,33.33333333333333,0.003731721229762076
2019,Basilicata,187581,Sud,Terziario,14,66.66666666666666,0.007463442459524152
